Date,Open,High,Low,Close ,Adj Close ,Volume
14-Apr-25,211.44,212.94,201.79,202.61,202.61,"57,260,648"
11-Apr-25,186.1,199.54,186.06,198.15,198.15,"87,300,000"
10-Apr-25,189.07,194.78,183,190.42,190.42,"121,880,000"
9-Apr-25,171.95,200.61,171.89,198.85,198.85,"184,395,900"
8-Apr-25,186.7,190.34,169.21,172.42,172.42,"120,859,500"
7-Apr-25,177.2,194.15,174.62,181.46,181.46,"160,466,300"
4-Apr-25,193.89,199.88,187.34,188.38,188.38,"125,910,900"
3-Apr-25,205.54,207.49,201.25,203.19,203.19,"103,419,000"
2-Apr-25,221.32,225.19,221.02,223.89,223.89,"35,905,900"
1-Apr-25,219.81,223.68,218.9,223.19,223.19,"36,412,700"
31-Mar-25,217.01,225.62,216.23,222.13,222.13,"65,299,300"
28-Mar-25,221.67,223.81,217.68,217.9,217.9,"39,818,600"
27-Mar-25,221.39,224.99,220.56,223.85,223.85,"37,094,800"
26-Mar-25,223.51,225.02,220.47,221.53,221.53,"34,466,100"
25-Mar-25,220.77,224.1,220.08,223.75,223.75,"34,493,600"
24-Mar-25,221,221.48,218.58,220.73,220.73,"44,299,500"
21-Mar-25,211.56,218.84,211.28,218.27,218.27,"94,127,800"
20-Mar-25,213.99,217.49,212.22,214.1,214.1,"48,862,900"
19-Mar-25,214.22,218.76,213.75,215.24,215.24,"54,385,400"
18-Mar-25,214.16,215.15,211.49,212.69,212.69,"42,432,400"
17-Mar-25,213.31,215.22,209.97,214,214,"48,073,400"
14-Mar-25,211.25,213.95,209.58,213.49,213.49,"60,107,600"
13-Mar-25,215.95,216.84,208.42,209.68,209.68,"61,368,300"
12-Mar-25,220.14,221.75,214.91,216.98,216.98,"62,547,500"
11-Mar-25,223.81,225.84,217.45,220.84,220.84,"76,137,400"
10-Mar-25,235.54,236.16,224.22,227.48,227.48,"72,071,200"
7-Mar-25,235.11,241.37,234.76,239.07,239.07,"46,273,600"
6-Mar-25,234.44,237.86,233.16,235.33,235.33,"45,170,400"
5-Mar-25,235.42,236.55,229.23,235.74,235.74,"47,227,600"
4-Mar-25,237.71,240.07,234.68,235.93,235.93,"53,798,100"
3-Mar-25,241.79,244.03,236.11,238.03,238.03,"47,184,000"
28-Feb-25,236.95,242.09,230.2,241.84,241.84,"56,833,400"
27-Feb-25,239.41,242.46,237.06,237.3,237.3,"41,153,600"
26-Feb-25,244.33,244.98,239.13,240.36,240.36,"44,433,600"
25-Feb-25,248,250,244.91,247.04,247.04,"48,013,300"
24-Feb-25,244.93,248.86,244.42,247.1,247.1,"51,326,400"
21-Feb-25,245.95,248.69,245.22,245.55,245.55,"53,197,400"
20-Feb-25,244.94,246.78,244.29,245.83,245.83,"32,316,900"
19-Feb-25,244.66,246.01,243.16,244.87,244.87,"32,204,200"
18-Feb-25,244.15,245.18,241.84,244.47,244.47,"48,822,500"
14-Feb-25,241.25,245.55,240.99,244.6,244.6,"40,896,200"
13-Feb-25,236.91,242.34,235.57,241.53,241.53,"53,614,100"
12-Feb-25,231.2,236.96,230.68,236.87,236.87,"45,243,300"
11-Feb-25,228.2,235.23,228.13,232.62,232.62,"53,718,400"
10-Feb-25,0.25 Dividend,,,,,
10-Feb-25,229.57,230.59,227.2,227.65,227.65,"33,115,600"
7-Feb-25,232.6,234,227.26,227.63,227.38,"39,707,200"
6-Feb-25,231.29,233.8,230.43,233.22,232.96,"29,925,300"
5-Feb-25,228.53,232.67,228.27,232.47,232.21,"39,620,300"
4-Feb-25,227.25,233.13,226.65,232.8,232.54,"45,067,300"
3-Feb-25,229.99,231.83,225.7,228.01,227.76,"73,063,300"
31-Jan-25,247.19,247.19,233.44,236,235.74,"101,075,100"
30-Jan-25,238.67,240.79,237.21,237.59,237.33,"55,658,300"
29-Jan-25,234.12,239.86,234.01,239.36,239.1,"45,486,100"
28-Jan-25,230.85,240.19,230.81,238.26,238,"75,707,600"
27-Jan-25,224.02,232.15,223.98,229.86,229.61,"94,863,400"
24-Jan-25,224.78,225.63,221.41,222.78,222.54,"54,697,900"
23-Jan-25,224.74,227.03,222.3,223.66,223.41,"60,234,800"
22-Jan-25,219.79,224.12,219.79,223.83,223.58,"64,126,500"
21-Jan-25,224,224.42,219.38,222.64,222.4,"98,070,400"
17-Jan-25,232.12,232.29,228.48,229.98,229.73,"68,488,300"
16-Jan-25,237.35,238.01,228.03,228.26,228.01,"71,759,100"
15-Jan-25,234.64,238.96,234.43,237.87,237.61,"39,832,000"
14-Jan-25,234.75,236.12,232.47,233.28,233.02,"39,435,300"
13-Jan-25,233.53,234.67,229.72,234.4,234.14,"49,630,700"
10-Jan-25,240.01,240.16,233,236.85,236.59,"61,710,900"
8-Jan-25,241.92,243.71,240.05,242.7,242.43,"37,628,900"
7-Jan-25,242.98,245.55,241.35,242.21,241.94,"40,856,000"
6-Jan-25,244.31,247.33,243.2,245,244.73,"45,045,600"
3-Jan-25,243.36,244.18,241.89,243.36,243.09,"40,244,100"
2-Jan-25,248.93,249.1,241.82,243.85,243.58,"55,740,700"
31-Dec-24,252.44,253.28,249.43,250.42,250.14,"39,480,700"
30-Dec-24,252.23,253.5,250.75,252.2,251.92,"35,557,500"
27-Dec-24,257.83,258.7,253.06,255.59,255.31,"42,355,300"
26-Dec-24,258.19,260.1,257.63,259.02,258.74,"27,237,100"
24-Dec-24,255.49,258.21,255.29,258.2,257.92,"23,234,700"
23-Dec-24,254.77,255.65,253.45,255.27,254.99,"40,858,800"
20-Dec-24,248.04,255,245.69,254.49,254.21,"147,495,300"
19-Dec-24,247.5,252,247.09,249.79,249.52,"60,882,300"
18-Dec-24,252.16,254.28,247.74,248.05,247.78,"56,774,100"
17-Dec-24,250.08,253.83,249.78,253.48,253.2,"51,356,400"
16-Dec-24,247.99,251.38,247.65,251.04,250.76,"51,694,800"
13-Dec-24,247.82,249.29,246.24,248.13,247.86,"33,155,300"
12-Dec-24,246.89,248.74,245.68,247.96,247.69,"32,777,500"
11-Dec-24,247.96,250.8,246.26,246.49,246.22,"45,205,800"
10-Dec-24,246.89,248.21,245.34,247.77,247.5,"36,914,800"
9-Dec-24,241.83,247.24,241.75,246.75,246.48,"44,649,200"
6-Dec-24,242.91,244.63,242.08,242.84,242.57,"36,870,600"
5-Dec-24,243.99,244.54,242.13,243.04,242.77,"40,033,900"
4-Dec-24,242.87,244.11,241.25,243.01,242.74,"44,383,900"
3-Dec-24,239.81,242.76,238.9,242.65,242.38,"38,861,000"
2-Dec-24,237.27,240.79,237.16,239.59,239.33,"48,137,100"
29-Nov-24,234.81,237.81,233.97,237.33,237.07,"28,481,400"
27-Nov-24,234.47,235.69,233.81,234.93,234.67,"33,498,400"
26-Nov-24,233.33,235.57,233.33,235.06,234.8,"45,986,200"
25-Nov-24,231.46,233.25,229.74,232.87,232.61,"90,152,800"
22-Nov-24,228.06,230.72,228.06,229.87,229.62,"38,168,300"
